200005	1	0	4	2016-01-26	-1	-1	-1	-1	72967	1|24,36,36	2|0,1,1	3|0,0,0	4|0,0,0	5|0,2,2	6|26,49,49
200032	3	2	4	2013-04-10	-1	-1	-1	-1	99491	1|10,18,18	2|1,1,1	3|0,0,0	4|0,0,0	5|0,0,0	6|8,19,19
200033	3	2	5	2016-02-02	-1	-1	-1	-1	44705	1|3,3,3	2|0,0,0	3|0,0,0	4|0,0,0	5|0,0,0	6|0,0,0
200037	2	2	5	2013-04-10	-1	-1	-1	-1	60533	1|4,4,4	2|0,0,0	3|0,0,0	4|0,0,0	5|0,0,0	6|13,13,13
200038	2	0	5	2013-04-10	-1	-1	-1	-1	25003	1|18,18,18	2|1,1,1	3|0,0,0	4|0,0,0	5|0,0,0	6|20,20,20
200038	2	0	5	2013-04-10	-1	-1	-1	-1	84205	1|198,198,198	2|0,0,0	3|0,0,0	4|0,0,0	5|3,3,3	6|249,249,249
200062	2	2	4	2016-01-27	-1	-1	-1	-1	124470	1|12,12,12	2|0,0,0	3|0,0,0	4|0,0,0	5|2,2,2	6|25,25,25
200089	1	2	3	2013-04-11	-1	-1	-1	-1	143661	1|16,16,16	2|2,2,2	3|0,0,0	4|0,0,0	5|0,0,0	6|20,20,20
200089	1	2	3	2013-04-11	-1	-1	-1	-1	94373	1|26,26,26	2|2,2,2	3|0,0,0	4|0,0,0	5|0,0,0	6|26,26,26
200092	2	2	5	2016-01-27	-1	-1	-1	-1	100894	1|2,2,2	2|3,3,3	3|1,1,1	4|0,0,0	5|0,0,0	6|6,6,6
